player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,1,15
Admiral,London Spitfire,Lucio,13,15
Admiral,London Spitfire,Zenyatta,1,15
AimGod,Seoul Infernal,Ana,2,15
AimGod,Seoul Infernal,Brigitte,12,15
AimGod,Seoul Infernal,Zenyatta,1,15
Although,Toronto Defiant,Genji,21,23
Although,Toronto Defiant,Symmetra,2,23
Aspire,Vancouver Titans,Ashe,2,11
Aspire,Vancouver Titans,Sojourn,7,11
Aspire,Vancouver Titans,Symmetra,1,11
Aspire,Vancouver Titans,Widowmaker,1,11
Assassin,Washington Justice,Genji,9,10
Assassin,Washington Justice,Tracer,1,10
Aztac,Vancouver Titans,Brigitte,7,7
Backbone,London Spitfire,Genji,13,20
Backbone,London Spitfire,Mei,2,20
Backbone,London Spitfire,Symmetra,2,20
Backbone,London Spitfire,Tracer,1,20
Backbone,London Spitfire,Widowmaker,2,20
CH0R0NG,Toronto Defiant,Lucio,21,21
Checkmate,Florida Mayhem,Ashe,1,22
Checkmate,Florida Mayhem,Genji,16,22
Checkmate,Florida Mayhem,Mei,1,22
Checkmate,Florida Mayhem,Pharah,1,22
Checkmate,Florida Mayhem,Symmetra,1,22
Checkmate,Florida Mayhem,Widowmaker,2,22
ChiYo,Dallas Fuel,Lucio,16,16
ChoiSehwan,Guangzhou Charge,Genji,6,12
ChoiSehwan,Guangzhou Charge,Pharah,1,12
ChoiSehwan,Guangzhou Charge,Soldier: 76,1,12
ChoiSehwan,Guangzhou Charge,Tracer,2,12
ChoiSehwan,Guangzhou Charge,Widowmaker,2,12
Coluge,San Francisco Shock,Doomfist,6,25
Coluge,San Francisco Shock,Junker Queen,19,25
Cr0ng,Guangzhou Charge,Junker Queen,6,8
Cr0ng,Guangzhou Charge,Wrecking Ball,2,8
Danteh,Houston Outlaws,Doomfist,3,14
Danteh,Houston Outlaws,Junker Queen,11,14
Decay,Washington Justice,Sojourn,9,12
Decay,Washington Justice,Symmetra,2,12
Decay,Washington Justice,Tracer,1,12
Edison,Dallas Fuel,Ashe,7,22
Edison,Dallas Fuel,Sojourn,13,22
Edison,Dallas Fuel,Tracer,2,22
FIXA,Seoul Infernal,Ana,2,15
FIXA,Seoul Infernal,Lucio,12,15
FIXA,Seoul Infernal,Mercy,1,15
Farway1987,Guangzhou Charge,Brigitte,6,6
FiNN,San Francisco Shock,Ana,2,22
FiNN,San Francisco Shock,Brigitte,19,22
FiNN,San Francisco Shock,Moira,1,22
Fielder,Dallas Fuel,Ana,3,19
Fielder,Dallas Fuel,Brigitte,16,19
Fits,Seoul Dynasty,Ashe,8,39
Fits,Seoul Dynasty,Sojourn,17,39
Fits,Seoul Dynasty,Sombra,1,39
Fits,Seoul Dynasty,Symmetra,6,39
Fits,Seoul Dynasty,Tracer,4,39
Fits,Seoul Dynasty,Widowmaker,3,39
Fury,Seoul Infernal,Doomfist,2,14
Fury,Seoul Infernal,Junker Queen,12,14
HOTBA,Toronto Defiant,Doomfist,3,24
HOTBA,Toronto Defiant,Junker Queen,21,24
Hadi,London Spitfire,Junker Queen,13,16
Hadi,London Spitfire,Roadhog,1,16
Hadi,London Spitfire,Winston,1,16
Hadi,London Spitfire,Wrecking Ball,1,16
Hanbin,Dallas Fuel,Doomfist,6,22
Hanbin,Dallas Fuel,Junker Queen,16,22
Heesu,Toronto Defiant,Ashe,20,35
Heesu,Toronto Defiant,Bastion,1,35
Heesu,Toronto Defiant,Reaper,1,35
Heesu,Toronto Defiant,Sojourn,8,35
Heesu,Toronto Defiant,Symmetra,1,35
Heesu,Toronto Defiant,Widowmaker,4,35
Hydron,Florida Mayhem,Ashe,3,32
Hydron,Florida Mayhem,Sojourn,16,32
Hydron,Florida Mayhem,Symmetra,5,32
Hydron,Florida Mayhem,Tracer,5,32
Hydron,Florida Mayhem,Widowmaker,3,32
IZaYaKI,Shanghai Dragons,Brigitte,12,13
IZaYaKI,Shanghai Dragons,Zenyatta,1,13
Jimmy,Guangzhou Charge,Ashe,2,18
Jimmy,Guangzhou Charge,Hanzo,1,18
Jimmy,Guangzhou Charge,Sojourn,6,18
Jimmy,Guangzhou Charge,Symmetra,2,18
Jimmy,Guangzhou Charge,Tracer,3,18
Jimmy,Guangzhou Charge,Widowmaker,4,18
Kalios,Washington Justice,Doomfist,2,11
Kalios,Washington Justice,Junker Queen,9,11
Kilo,San Francisco Shock,Ashe,4,30
Kilo,San Francisco Shock,Hanzo,1,30
Kilo,San Francisco Shock,Sojourn,18,30
Kilo,San Francisco Shock,Symmetra,4,30
Kilo,San Francisco Shock,Tracer,1,30
Kilo,San Francisco Shock,Widowmaker,2,30
Krillin,Washington Justice,Brigitte,9,9
LIP,Shanghai Dragons,Ashe,3,25
LIP,Shanghai Dragons,Bastion,1,25
LIP,Shanghai Dragons,Sojourn,12,25
LIP,Shanghai Dragons,Symmetra,4,25
LIP,Shanghai Dragons,Tracer,3,25
LIP,Shanghai Dragons,Widowmaker,2,25
Landon,London Spitfire,Brigitte,13,14
Landon,London Spitfire,Lucio,1,14
Lastro,Houston Outlaws,Ana,1,12
Lastro,Houston Outlaws,Brigitte,11,12
LeeJaeGon,Shanghai Dragons,Lucio,12,12
Lep,Houston Outlaws,Lucio,11,11
MER1T,Houston Outlaws,Ashe,4,14
MER1T,Houston Outlaws,Sojourn,9,14
MER1T,Houston Outlaws,Symmetra,1,14
MN3,Seoul Infernal,Ashe,4,19
MN3,Seoul Infernal,Sojourn,12,19
MN3,Seoul Infernal,Symmetra,2,19
MN3,Seoul Infernal,Widowmaker,1,19
Masaa,Vancouver Titans,Lucio,7,7
MirroR,Vancouver Titans,Doomfist,1,8
MirroR,Vancouver Titans,Junker Queen,7,8
OPENER,Washington Justice,Lucio,9,11
OPENER,Washington Justice,Mercy,2,11
PELICAN,Houston Outlaws,Genji,11,13
PELICAN,Houston Outlaws,Reaper,1,13
PELICAN,Houston Outlaws,Widowmaker,1,13
Profit,Seoul Dynasty,Ana,1,19
Profit,Seoul Dynasty,Brigitte,18,19
Proper,San Francisco Shock,Genji,19,19
Rupal,Florida Mayhem,Ana,6,22
Rupal,Florida Mayhem,Brigitte,14,22
Rupal,Florida Mayhem,Lucio,1,22
Rupal,Florida Mayhem,Moira,1,22
SP9RK1E,Dallas Fuel,Genji,16,24
SP9RK1E,Dallas Fuel,Symmetra,5,24
SP9RK1E,Dallas Fuel,Tracer,1,24
SP9RK1E,Dallas Fuel,Widowmaker,2,24
SirMajed,Florida Mayhem,Ana,1,23
SirMajed,Florida Mayhem,Baptiste,1,23
SirMajed,Florida Mayhem,Lucio,14,23
SirMajed,Florida Mayhem,Moira,2,23
SirMajed,Florida Mayhem,Zenyatta,5,23
Someone,Florida Mayhem,Doomfist,4,20
Someone,Florida Mayhem,Junker Queen,16,20
SparkR,London Spitfire,Sojourn,13,14
SparkR,London Spitfire,Symmetra,1,14
Stalk3r,Seoul Dynasty,Genji,18,25
Stalk3r,Seoul Dynasty,Hanzo,2,25
Stalk3r,Seoul Dynasty,Symmetra,2,25
Stalk3r,Seoul Dynasty,Tracer,1,25
Stalk3r,Seoul Dynasty,Widowmaker,2,25
Twilight,Toronto Defiant,Ana,5,26
Twilight,Toronto Defiant,Brigitte,21,26
Vindaim,Seoul Dynasty,Ana,1,20
Vindaim,Seoul Dynasty,Lucio,18,20
Vindaim,Seoul Dynasty,Mercy,1,20
Viol2t,San Francisco Shock,Lucio,19,19
Void,Shanghai Dragons,Doomfist,4,16
Void,Shanghai Dragons,Junker Queen,12,16
WhoRu,Shanghai Dragons,Genji,12,14
WhoRu,Shanghai Dragons,Symmetra,1,14
WhoRu,Shanghai Dragons,Tracer,1,14
Xerneas,Guangzhou Charge,Lucio,6,6
ZEST,Seoul Infernal,Echo,2,21
ZEST,Seoul Infernal,Genji,12,21
ZEST,Seoul Infernal,Symmetra,1,21
ZEST,Seoul Infernal,Tracer,3,21
ZEST,Seoul Infernal,Widowmaker,3,21
k1ng,Vancouver Titans,Echo,1,10
k1ng,Vancouver Titans,Genji,7,10
k1ng,Vancouver Titans,Symmetra,2,10
smurf,Seoul Dynasty,Doomfist,4,25
smurf,Seoul Dynasty,Junker Queen,18,25
smurf,Seoul Dynasty,Wrecking Ball,3,25
