player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,1,15
Admiral,London Spitfire,Lucio,13,15
Admiral,London Spitfire,Zenyatta,1,15
AimGod,Seoul Infernal,Ana,2,15
AimGod,Seoul Infernal,Brigitte,12,15
AimGod,Seoul Infernal,Zenyatta,1,15
Aztac,Vancouver Titans,Brigitte,7,7
CH0R0NG,Toronto Defiant,Lucio,21,21
ChiYo,Dallas Fuel,Lucio,16,16
FIXA,Seoul Infernal,Ana,2,15
FIXA,Seoul Infernal,Lucio,12,15
FIXA,Seoul Infernal,Mercy,1,15
Farway1987,Guangzhou Charge,Brigitte,6,6
FiNN,San Francisco Shock,Ana,2,22
FiNN,San Francisco Shock,Brigitte,19,22
FiNN,San Francisco Shock,Moira,1,22
Fielder,Dallas Fuel,Ana,3,19
Fielder,Dallas Fuel,Brigitte,16,19
IZaYaKI,Shanghai Dragons,Brigitte,12,13
IZaYaKI,Shanghai Dragons,Zenyatta,1,13
Krillin,Washington Justice,Brigitte,9,9
Landon,London Spitfire,Brigitte,13,14
Landon,London Spitfire,Lucio,1,14
Lastro,Houston Outlaws,Ana,1,12
Lastro,Houston Outlaws,Brigitte,11,12
LeeJaeGon,Shanghai Dragons,Lucio,12,12
Lep,Houston Outlaws,Lucio,11,11
Masaa,Vancouver Titans,Lucio,7,7
OPENER,Washington Justice,Lucio,9,11
OPENER,Washington Justice,Mercy,2,11
Profit,Seoul Dynasty,Ana,1,19
Profit,Seoul Dynasty,Brigitte,18,19
Rupal,Florida Mayhem,Ana,6,22
Rupal,Florida Mayhem,Brigitte,14,22
Rupal,Florida Mayhem,Lucio,1,22
Rupal,Florida Mayhem,Moira,1,22
SirMajed,Florida Mayhem,Ana,1,23
SirMajed,Florida Mayhem,Baptiste,1,23
SirMajed,Florida Mayhem,Lucio,14,23
SirMajed,Florida Mayhem,Moira,2,23
SirMajed,Florida Mayhem,Zenyatta,5,23
Twilight,Toronto Defiant,Ana,5,26
Twilight,Toronto Defiant,Brigitte,21,26
Vindaim,Seoul Dynasty,Ana,1,20
Vindaim,Seoul Dynasty,Lucio,18,20
Vindaim,Seoul Dynasty,Mercy,1,20
Viol2t,San Francisco Shock,Lucio,19,19
Xerneas,Guangzhou Charge,Lucio,6,6
