player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,2,9
BERNAR,Hangzhou Spark,Winston,1,9
BERNAR,Hangzhou Spark,Wrecking Ball,1,9
BERNAR,Hangzhou Spark,Zarya,5,9
Belosrea,Seoul Infernal,Doomfist,3,15
Belosrea,Seoul Infernal,Reinhardt,1,15
Belosrea,Seoul Infernal,Winston,10,15
Belosrea,Seoul Infernal,Wrecking Ball,1,15
Coluge,San Francisco Shock,Doomfist,12,26
Coluge,San Francisco Shock,Reinhardt,2,26
Coluge,San Francisco Shock,Sigma,1,26
Coluge,San Francisco Shock,Winston,9,26
Coluge,San Francisco Shock,Zarya,2,26
Danteh,Houston Outlaws,Doomfist,6,6
FEARLESS,Dallas Fuel,Doomfist,1,7
FEARLESS,Dallas Fuel,Roadhog,2,7
FEARLESS,Dallas Fuel,Winston,4,7
Fate,Shanghai Dragons,Reinhardt,2,15
Fate,Shanghai Dragons,Winston,8,15
Fate,Shanghai Dragons,Wrecking Ball,3,15
Fate,Shanghai Dragons,Zarya,2,15
Gator,Atlanta Reign,Doomfist,4,10
Gator,Atlanta Reign,Winston,6,10
Guxue,Hangzhou Spark,Winston,2,2
HOTBA,Toronto Defiant,Doomfist,2,7
HOTBA,Toronto Defiant,Sigma,1,7
HOTBA,Toronto Defiant,Winston,1,7
HOTBA,Toronto Defiant,Zarya,3,7
Hanbin,Dallas Fuel,Doomfist,9,30
Hanbin,Dallas Fuel,Reinhardt,1,30
Hanbin,Dallas Fuel,Sigma,2,30
Hanbin,Dallas Fuel,Winston,1,30
Hanbin,Dallas Fuel,Zarya,17,30
Hawk,Atlanta Reign,Doomfist,7,16
Hawk,Atlanta Reign,Reinhardt,1,16
Hawk,Atlanta Reign,Sigma,1,16
Hawk,Atlanta Reign,Zarya,7,16
MAG,Washington Justice,Doomfist,3,12
MAG,Washington Justice,Orisa,1,12
MAG,Washington Justice,Winston,8,12
MuZe,Toronto Defiant,Reinhardt,1,5
MuZe,Toronto Defiant,Winston,3,5
MuZe,Toronto Defiant,Zarya,1,5
Piggy,Houston Outlaws,Doomfist,3,11
Piggy,Houston Outlaws,Reinhardt,3,11
Piggy,Houston Outlaws,Sigma,2,11
Piggy,Houston Outlaws,Winston,1,11
Piggy,Houston Outlaws,Zarya,2,11
Reiner,Los Angeles Gladiators,Doomfist,9,24
Reiner,Los Angeles Gladiators,Reinhardt,6,24
Reiner,Los Angeles Gladiators,Roadhog,1,24
Reiner,Los Angeles Gladiators,Winston,8,24
SPACE,Los Angeles Gladiators,Sigma,1,1
Someone,Florida Mayhem,Doomfist,4,19
Someone,Florida Mayhem,Reinhardt,3,19
Someone,Florida Mayhem,Roadhog,2,19
Someone,Florida Mayhem,Winston,9,19
Someone,Florida Mayhem,Zarya,1,19
Void,Shanghai Dragons,Zarya,4,4
smurf,Seoul Dynasty,Doomfist,2,24
smurf,Seoul Dynasty,Reinhardt,3,24
smurf,Seoul Dynasty,Winston,14,24
smurf,Seoul Dynasty,Zarya,5,24
