player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,3,18
Admiral,London Spitfire,Lucio,14,18
Admiral,London Spitfire,Moira,1,18
AimGod,Seoul Infernal,Ana,1,9
AimGod,Seoul Infernal,Kiriko,7,9
AimGod,Seoul Infernal,Zenyatta,1,9
AlphaYi,Hangzhou Spark,Echo,3,36
AlphaYi,Hangzhou Spark,Genji,1,36
AlphaYi,Hangzhou Spark,Hanzo,1,36
AlphaYi,Hangzhou Spark,Junkrat,1,36
AlphaYi,Hangzhou Spark,Reaper,19,36
AlphaYi,Hangzhou Spark,Symmetra,5,36
AlphaYi,Hangzhou Spark,Tracer,3,36
AlphaYi,Hangzhou Spark,Widowmaker,3,36
Anamo,Florida Mayhem,Lucio,20,20
Assassin,Washington Justice,Genji,5,10
Assassin,Washington Justice,Mei,1,10
Assassin,Washington Justice,Sombra,4,10
BERNAR,Hangzhou Spark,Sigma,1,2
BERNAR,Hangzhou Spark,Zarya,1,2
Backbone,London Spitfire,Bastion,1,25
Backbone,London Spitfire,Reaper,14,25
Backbone,London Spitfire,Tracer,1,25
Backbone,London Spitfire,Widowmaker,9,25
Belosrea,Seoul Infernal,Roadhog,1,8
Belosrea,Seoul Infernal,Winston,7,8
CH0R0NG,Toronto Defiant,Brigitte,1,20
CH0R0NG,Toronto Defiant,Lucio,18,20
CH0R0NG,Toronto Defiant,Moira,1,20
Checkmate,Florida Mayhem,Ashe,1,33
Checkmate,Florida Mayhem,Genji,8,33
Checkmate,Florida Mayhem,Hanzo,1,33
Checkmate,Florida Mayhem,Mei,1,33
Checkmate,Florida Mayhem,Reaper,14,33
Checkmate,Florida Mayhem,Sombra,2,33
Checkmate,Florida Mayhem,Symmetra,1,33
Checkmate,Florida Mayhem,Tracer,3,33
Checkmate,Florida Mayhem,Widowmaker,2,33
ChiYo,Dallas Fuel,Lucio,18,18
ChoiSehwan,Guangzhou Charge,Genji,4,9
ChoiSehwan,Guangzhou Charge,Symmetra,1,9
ChoiSehwan,Guangzhou Charge,Tracer,4,9
Coluge,San Francisco Shock,Doomfist,5,24
Coluge,San Francisco Shock,Roadhog,2,24
Coluge,San Francisco Shock,Sigma,3,24
Coluge,San Francisco Shock,Winston,14,24
Creative,Houston Outlaws,Baptiste,2,20
Creative,Houston Outlaws,Kiriko,18,20
Crimzo,Boston Uprising,Ana,2,11
Crimzo,Boston Uprising,Baptiste,9,11
Daizi,Chengdu Hunters,Zarya,2,2
Danteh,Houston Outlaws,Orisa,2,21
Danteh,Houston Outlaws,Roadhog,2,21
Danteh,Houston Outlaws,Winston,17,21
Decay,Washington Justice,Sojourn,5,11
Decay,Washington Justice,Symmetra,2,11
Decay,Washington Justice,Tracer,4,11
Edison,Dallas Fuel,Sojourn,18,22
Edison,Dallas Fuel,Widowmaker,4,22
FEARLESS,Dallas Fuel,Doomfist,3,21
FEARLESS,Dallas Fuel,Winston,18,21
FIXA,Seoul Infernal,Ana,1,8
FIXA,Seoul Infernal,Lucio,7,8
Faith,Boston Uprising,Lucio,9,9
Farway1987,Guangzhou Charge,Ana,3,5
Farway1987,Guangzhou Charge,Baptiste,2,5
Fate,Shanghai Dragons,Doomfist,1,8
Fate,Shanghai Dragons,Winston,7,8
FiNN,San Francisco Shock,Baptiste,1,31
FiNN,San Francisco Shock,Kiriko,27,31
FiNN,San Francisco Shock,Zenyatta,3,31
Fielder,Dallas Fuel,Ana,1,19
Fielder,Dallas Fuel,Kiriko,18,19
Finale,Toronto Defiant,Genji,10,37
Finale,Toronto Defiant,Hanzo,3,37
Finale,Toronto Defiant,Reaper,3,37
Finale,Toronto Defiant,Sojourn,5,37
Finale,Toronto Defiant,Sombra,1,37
Finale,Toronto Defiant,Symmetra,3,37
Finale,Toronto Defiant,Tracer,9,37
Finale,Toronto Defiant,Widowmaker,3,37
Fits,Seoul Dynasty,Sojourn,9,12
Fits,Seoul Dynasty,Widowmaker,3,12
Fleta,Shanghai Dragons,Genji,1,13
Fleta,Shanghai Dragons,Reaper,7,13
Fleta,Shanghai Dragons,Sombra,1,13
Fleta,Shanghai Dragons,Symmetra,1,13
Fleta,Shanghai Dragons,Tracer,3,13
FunnyAstro,Los Angeles Gladiators,Lucio,11,11
GA9A,Chengdu Hunters,Doomfist,2,8
GA9A,Chengdu Hunters,Winston,6,8
Gator,Atlanta Reign,Doomfist,1,5
Gator,Atlanta Reign,Winston,4,5
Guxue,Hangzhou Spark,Roadhog,1,26
Guxue,Hangzhou Spark,Winston,25,26
HOTBA,Toronto Defiant,D.Va,1,18
HOTBA,Toronto Defiant,Doomfist,1,18
HOTBA,Toronto Defiant,Winston,5,18
HOTBA,Toronto Defiant,Wrecking Ball,1,18
HOTBA,Toronto Defiant,Zarya,10,18
Hadi,London Spitfire,Junker Queen,1,18
Hadi,London Spitfire,Reinhardt,1,18
Hadi,London Spitfire,Roadhog,2,18
Hadi,London Spitfire,Winston,14,18
Happy,Los Angeles Gladiators,Hanzo,1,24
Happy,Los Angeles Gladiators,Reaper,3,24
Happy,Los Angeles Gladiators,Sojourn,10,24
Happy,Los Angeles Gladiators,Symmetra,3,24
Happy,Los Angeles Gladiators,Tracer,3,24
Happy,Los Angeles Gladiators,Widowmaker,4,24
Hawk,Atlanta Reign,Doomfist,2,7
Hawk,Atlanta Reign,Orisa,1,7
Hawk,Atlanta Reign,Reinhardt,1,7
Hawk,Atlanta Reign,Winston,3,7
Heesu,Toronto Defiant,Reaper,5,23
Heesu,Toronto Defiant,Sojourn,13,23
Heesu,Toronto Defiant,Sombra,1,23
Heesu,Toronto Defiant,Widowmaker,4,23
Hydron,Florida Mayhem,Sojourn,21,32
Hydron,Florida Mayhem,Symmetra,1,32
Hydron,Florida Mayhem,Tracer,3,32
Hydron,Florida Mayhem,Widowmaker,7,32
IZaYaKI,Shanghai Dragons,Kiriko,7,7
Jimmy,Guangzhou Charge,Sojourn,4,9
Jimmy,Guangzhou Charge,Sombra,3,9
Jimmy,Guangzhou Charge,Symmetra,1,9
Jimmy,Guangzhou Charge,Widowmaker,1,9
Jinmu,Chengdu Hunters,Bastion,1,15
Jinmu,Chengdu Hunters,Genji,5,15
Jinmu,Chengdu Hunters,Sombra,5,15
Jinmu,Chengdu Hunters,Symmetra,1,15
Jinmu,Chengdu Hunters,Tracer,3,15
Kai,Atlanta Reign,Sojourn,7,9
Kai,Atlanta Reign,Widowmaker,2,9
Kalios,Washington Justice,D.Va,3,10
Kalios,Washington Justice,Doomfist,2,10
Kalios,Washington Justice,Zarya,5,10
Kilo,San Francisco Shock,Sojourn,3,3
Krillin,Washington Justice,Baptiste,6,11
Krillin,Washington Justice,Mercy,1,11
Krillin,Washington Justice,Zenyatta,4,11
LIP,Shanghai Dragons,Sojourn,7,9
LIP,Shanghai Dragons,Widowmaker,2,9
Landon,London Spitfire,Kiriko,14,14
Lastro,Houston Outlaws,Lucio,18,18
Leave,Chengdu Hunters,Sojourn,6,13
Leave,Chengdu Hunters,Symmetra,2,13
Leave,Chengdu Hunters,Tracer,5,13
LeeJaeGon,Shanghai Dragons,Lucio,7,7
MER1T,Houston Outlaws,Sojourn,18,19
MER1T,Houston Outlaws,Symmetra,1,19
MN3,Seoul Infernal,Sojourn,7,10
MN3,Seoul Infernal,Tracer,1,10
MN3,Seoul Infernal,Widowmaker,2,10
Mmonk,Chengdu Hunters,Ana,7,9
Mmonk,Chengdu Hunters,Baptiste,2,9
MuZe,Toronto Defiant,Winston,3,3
Nisha,Chengdu Hunters,Brigitte,7,12
Nisha,Chengdu Hunters,Lucio,4,12
Nisha,Chengdu Hunters,Zenyatta,1,12
OPENER,Washington Justice,Ana,3,12
OPENER,Washington Justice,Brigitte,3,12
OPENER,Washington Justice,Lucio,6,12
Ojee,Atlanta Reign,Lucio,7,7
PELICAN,Houston Outlaws,Reaper,18,28
PELICAN,Houston Outlaws,Soldier: 76,1,28
PELICAN,Houston Outlaws,Symmetra,5,28
PELICAN,Houston Outlaws,Tracer,4,28
Piggy,Guangzhou Charge,D.Va,2,8
Piggy,Guangzhou Charge,Winston,2,8
Piggy,Guangzhou Charge,Zarya,4,8
