player_name,team_name,hero_name,times_played,total_times_played
ANSOONJAE,New York Excelsior,Lucio,21,21
Admiral,London Spitfire,Ana,3,41
Admiral,London Spitfire,Lucio,36,41
Admiral,London Spitfire,Mercy,1,41
Admiral,London Spitfire,Zenyatta,1,41
AimGod,Seoul Infernal,Ana,5,44
AimGod,Seoul Infernal,Brigitte,38,44
AimGod,Seoul Infernal,Zenyatta,1,44
Anamo,Florida Mayhem,Brigitte,3,7
Anamo,Florida Mayhem,Lucio,3,7
Anamo,Florida Mayhem,Moira,1,7
Aztac,Vancouver Titans,Brigitte,31,32
Aztac,Vancouver Titans,Moira,1,32
CH0R0NG,Toronto Defiant,Baptiste,1,50
CH0R0NG,Toronto Defiant,Lucio,45,50
CH0R0NG,Toronto Defiant,Mercy,1,50
CH0R0NG,Toronto Defiant,Moira,3,50
ChiYo,Dallas Fuel,Lucio,41,41
Crimzo,Boston Uprising,Ana,1,6
Crimzo,Boston Uprising,Brigitte,5,6
FIXA,Seoul Infernal,Ana,6,45
FIXA,Seoul Infernal,Lucio,38,45
FIXA,Seoul Infernal,Mercy,1,45
Faith,Boston Uprising,Lucio,22,23
Faith,Boston Uprising,Zenyatta,1,23
Farway1987,Guangzhou Charge,Brigitte,29,30
Farway1987,Guangzhou Charge,Lucio,1,30
FiNN,San Francisco Shock,Ana,6,50
FiNN,San Francisco Shock,Brigitte,41,50
FiNN,San Francisco Shock,Moira,3,50
Fielder,Dallas Fuel,Ana,7,49
Fielder,Dallas Fuel,Brigitte,41,49
Fielder,Dallas Fuel,Moira,1,49
FunnyAstro,Los Angeles Gladiators,Lucio,24,24
GangNamJin,New York Excelsior,Ana,3,28
GangNamJin,New York Excelsior,Brigitte,21,28
GangNamJin,New York Excelsior,Lucio,1,28
GangNamJin,New York Excelsior,Moira,3,28
HO1,New York Excelsior,Brigitte,1,3
HO1,New York Excelsior,Lucio,1,3
HO1,New York Excelsior,Zenyatta,1,3
IZaYaKI,Shanghai Dragons,Ana,4,38
IZaYaKI,Shanghai Dragons,Brigitte,31,38
IZaYaKI,Shanghai Dragons,Zenyatta,3,38
Kaan,Vegas Eternal,Ana,1,7
Kaan,Vegas Eternal,Brigitte,6,7
Krillin,Washington Justice,Ana,2,27
Krillin,Washington Justice,Brigitte,25,27
Landon,London Spitfire,Ana,2,39
Landon,London Spitfire,Brigitte,35,39
Landon,London Spitfire,Lucio,1,39
Landon,London Spitfire,Moira,1,39
Lastro,Houston Outlaws,Ana,1,37
Lastro,Houston Outlaws,Brigitte,35,37
Lastro,Houston Outlaws,Moira,1,37
LeeJaeGon,Shanghai Dragons,Lucio,31,31
Lengsa,Los Angeles Valiant,Ana,1,27
Lengsa,Los Angeles Valiant,Lucio,25,27
Lengsa,Los Angeles Valiant,Mercy,1,27
Lep,Houston Outlaws,Lucio,35,35
Lukemino,Vegas Eternal,Ana,2,17
Lukemino,Vegas Eternal,Lucio,13,17
Lukemino,Vegas Eternal,Mercy,1,17
Lukemino,Vegas Eternal,Zenyatta,1,17
MCD,Boston Uprising,Brigitte,17,17
Masaa,Vancouver Titans,Ana,1,32
Masaa,Vancouver Titans,Lucio,31,32
Mmonk,Chengdu Hunters,Ana,4,26
Mmonk,Chengdu Hunters,Brigitte,21,26
Mmonk,Chengdu Hunters,Moira,1,26
Molly,Los Angeles Valiant,Brigitte,8,8
Nisha,Chengdu Hunters,Brigitte,1,23
Nisha,Chengdu Hunters,Lucio,21,23
Nisha,Chengdu Hunters,Mercy,1,23
OPENER,Washington Justice,Lucio,33,41
OPENER,Washington Justice,Mercy,8,41
Ojee,Atlanta Reign,Lucio,23,23
Profit,Seoul Dynasty,Ana,5,46
Profit,Seoul Dynasty,Brigitte,38,46
Profit,Seoul Dynasty,Moira,2,46
Profit,Seoul Dynasty,Zenyatta,1,46
Rakattack,Vegas Eternal,Ana,3,19
Rakattack,Vegas Eternal,Baptiste,1,19
Rakattack,Vegas Eternal,Brigitte,13,19
Rakattack,Vegas Eternal,Mercy,2,19
Rupal,Florida Mayhem,Ana,15,47
Rupal,Florida Mayhem,Brigitte,29,47
Rupal,Florida Mayhem,Lucio,1,47
Rupal,Florida Mayhem,Mercy,1,47
Rupal,Florida Mayhem,Moira,1,47
SASIN,Los Angeles Valiant,Ana,2,19
SASIN,Los Angeles Valiant,Brigitte,17,19
SirMajed,Florida Mayhem,Ana,2,51
SirMajed,Florida Mayhem,Baptiste,3,51
SirMajed,Florida Mayhem,Lucio,30,51
SirMajed,Florida Mayhem,Moira,3,51
SirMajed,Florida Mayhem,Zenyatta,13,51
Superich,Hangzhou Spark,Ana,1,25
Superich,Hangzhou Spark,Lucio,22,25
Superich,Hangzhou Spark,Mercy,2,25
Twilight,Toronto Defiant,Ana,16,62
Twilight,Toronto Defiant,Brigitte,45,62
Twilight,Toronto Defiant,Zenyatta,1,62
UltraViolet,Atlanta Reign,Brigitte,8,8
Vindaim,Seoul Dynasty,Ana,2,42
Vindaim,Seoul Dynasty,Lucio,38,42
Vindaim,Seoul Dynasty,Mercy,2,42
Viol2t,San Francisco Shock,Lucio,41,41
Xerneas,Guangzhou Charge,Ana,1,31
Xerneas,Guangzhou Charge,Lucio,29,31
Xerneas,Guangzhou Charge,Mercy,1,31
dridro,Vegas Eternal,Baptiste,1,7
dridro,Vegas Eternal,Lucio,6,7
irony,Hangzhou Spark,Ana,1,24
irony,Hangzhou Spark,Brigitte,22,24
irony,Hangzhou Spark,Moira,1,24
skewed,Los Angeles Gladiators,Ana,3,27
skewed,Los Angeles Gladiators,Brigitte,24,27
vigilante,Atlanta Reign,Ana,1,16
vigilante,Atlanta Reign,Brigitte,15,16
vigilante,Washington Justice,Brigitte,8,8
